Id,lp_community
0,0
21386,0
11659,0
10635,0
17807,0
5371,0
21014,0
419,0
6692,0
6821,0
8358,0
295,0
17959,0
17963,0
4783,0
16687,0
15921,0
22322,0
21808,0
18229,0
12726,0
20150,0
3897,0
8762,0
14266,0
4665,0
18873,0
22077,0
21437,0
9792,0
17730,0
2632,0
18377,0
2257,0
20690,0
16979,0
1365,0
19424,0
21857,0
2790,0
16486,0
8425,0
1898,0
3179,0
4971,0
20845,0
5742,0
8945,0
11763,0
18165,0
633,0
18427,0
15356,0
1,1
14344,1
12305,1
20513,1
14371,1
10281,1
6189,1
14382,1
16433,1
8243,1
4147,1
12346,1
16466,1
88,1
16495,1
16499,1
18553,1
123,1
130,1
16520,1
10379,1
14477,1
167,1
16567,1
8381,1
8387,1
12485,1
16590,1
14546,1
12500,1
16602,1
223,1
14562,1
6370,1
12527,1
14576,1
20722,1
2294,1
12548,1
8454,1
16652,1
18721,1
20769,1
20773,1
14640,1
14643,1
8502,1
18744,1
16698,1
16703,1
8511,1
8519,1
16723,1
2387,1
8533,1
14677,1
343,1
6490,1
8540,1
6492,1
10593,1
12643,1
8551,1
14696,1
20844,1
20847,1
2418,1
16755,1
2421,1
10614,1
375,1
10617,1
16769,1
16770,1
18818,1
14737,1
12690,1
16800,1
8619,1
18861,1
16818,1
10685,1
2496,1
16862,1
2541,1
18937,1
20992,1
2565,1
18957,1
18964,1
10772,1
18971,1
2604,1
14895,1
14898,1
16951,1
8770,1
16968,1
6735,1
14928,1
14929,1
2647,1
21079,1
14941,1
2676,1
17024,1
14978,1
4742,1
10887,1
19093,1
6805,1
12949,1
10912,1
4768,1
15018,1
6829,1
10926,1
15026,1
12982,1
6843,1
8894,1
4804,1
10948,1
19146,1
17105,1
2774,1
10967,1
6874,1
19167,1
739,1
21227,1
10988,1
21232,1
17145,1
2812,1
766,1
2821,1
2822,1
13066,1
13081,1
21277,1
13088,1
11043,1
2851,1
4902,1
11056,1
11062,1
17210,1
840,1
15177,1
19275,1
4953,1
9053,1
11125,1
21370,1
4987,1
19334,1
17296,1
7066,1
11168,1
9130,1
9163,1
13264,1
17370,1
3037,1
7136,1
1000,1
17391,1
21488,1
13300,1
15364,1
1041,1
17426,1
19476,1
1047,1
19483,1
7208,1
7210,1
9260,1
19501,1
17460,1
9281,1
19522,1
15437,1
13398,1
15448,1
5228,1
15468,1
3180,1
21621,1
15481,1
7289,1
5241,1
13445,1
9355,1
11411,1
13460,1
19610,1
21663,1
15535,1
5307,1
5318,1
21703,1
7368,1
11466,1
11467,1
21708,1
5345,1
5348,1
13544,1
5354,1
17646,1
5379,1
15623,1
9480,1
1309,1
11553,1
9518,1
21810,1
5427,1
1351,1
3401,1
19795,1
1390,1
7535,1
9589,1
3448,1
7550,1
17792,1
15745,1
5510,1
11657,1
17811,1
3476,1
13719,1
11671,1
17817,1
15785,1
13737,1
3497,1
19890,1
21940,1
3520,1
1500,1
17891,1
17904,1
22007,1
19961,1
19987,1
22037,1
1557,1
5655,1
15907,1
15913,1
17977,1
3650,1
20035,1
7748,1
20042,1
13899,1
7756,1
1617,1
7765,1
3672,1
11870,1
20064,1
9832,1
7796,1
13940,1
20087,1
5755,1
3707,1
7807,1
1671,1
7828,1
20117,1
22171,1
7835,1
18083,1
13988,1
1702,1
20135,1
3764,1
16059,1
7871,1
22208,1
3778,1
1733,1
9934,1
18128,1
22226,1
5843,1
3797,1
7893,1
9941,1
11994,1
3809,1
7911,1
7918,1
9968,1
3845,1
9993,1
18185,1
12044,1
20240,1
14098,1
20246,1
22296,1
3865,1
14110,1
1823,1
14115,1
3880,1
16179,1
5949,1
14166,1
14181,1
20329,1
10091,1
14192,1
8049,1
18288,1
12150,1
18297,1
20347,1
16260,1
22405,1
6032,1
1946,1
14245,1
1968,1
4019,1
20405,1
4022,1
14272,1
14280,1
12242,1
14295,1
12249,1
18395,1
10204,1
10205,1
2014,1
10209,1
16358,1
6132,1
6133,1
12276,1
14327,1
12280,1
8193,2
16386,2
16389,2
16392,2
9,2
16393,2
16397,2
16398,2
8205,2
18,2
19,2
8210,2
8216,2
26,2
8221,2
8222,2
16413,2
33,2
8226,2
36,2
37,2
16421,2
39,2
8232,2
16425,2
42,2
47,2
16432,2
16434,2
8245,2
16438,2
16439,2
56,2
57,2
58,2
59,2
8252,2
65,2
8262,2
8263,2
8265,2
16458,2
75,2
16462,2
