source,target
31,365
40,194
311,410
417,428
338,373
243,382
18,44
60,437
31,221
21,473
44,438
136,423
378,454
188,479
46,386
251,517
260,309
163,404
88,221
7,385
252,463
189,523
18,165
464,508
145,355
28,206
90,428
126,512
308,489
122,371
296,533
100,231
69,234
295,397
66,345
122,227
319,363
225,356
308,372
101,549
138,217
297,390
91,532
70,418
194,386
167,280
50,360
287,425
304,496
115,340
10,58
54,321
208,388
295,545
87,516
74,326
68,255
87,116
105,152
75,160
55,294
21,189
76,88
90,261
272,436
24,96
63,442
265,549
395,479
173,286
61,243
178,401
152,501
213,368
368,391
180,191
105,426
172,339
57,349
49,107
205,373
168,207
26,114
450,460
149,212
227,540
197,261
184,188
260,308
69,350
175,368
303,526
83,532
110,360
33,284
73,329
138,486
149,486
207,329
75,119
65,474
87,93
222,537
11,372
68,250
131,437
3,288
300,502
119,301
74,159
92,482
143,429
359,408
267,343
279,308
193,506
424,546
236,346
280,520
91,504
3,153
78,403
20,480
64,239
179,315
36,406
261,515
234,269
264,422
293,318
422,478
33,526
345,365
452,500
108,538
265,503
275,297
176,184
257,419
98,255
121,495
372,513
338,371
71,256
103,199
379,381
273,372
179,454
334,477
456,466
83,239
9,61
40,268
317,415
185,268
209,235
297,357
241,267
262,488
64,216
80,93
70,147
348,411
90,125
360,376
65,190
44,256
95,478
383,387
257,549
440,503
5,157
255,476
241,541
199,535
336,522
129,220
202,204
461,544
311,358
245,422
224,488
110,377
325,531
283,296
309,434
10,110
19,366
42,179
46,469
180,320
221,321
260,392
354,356
67,272
9,438
277,481
391,503
89,281
135,159
68,496
86,532
284,386
62,184
329,537
215,524
117,138
142,311
119,547
361,489
322,516
157,421
111,314
32,179
112,526
489,522
80,326
350,425
67,393
79,358
135,271
370,403
64,467
124,280
199,283
37,221
5,161
244,443
180,526
209,333
328,433
200,513
411,449
149,300
223,249
60,380
443,536
298,508
241,401
108,137
173,257
202,293
352,488
145,424
253,375
293,411
290,424
211,369
360,501
407,433
54,184
34,355
142,544
231,356
7,499
175,303
95,203
75,234
76,171
59,375
151,372
318,397
322,349
115,544
100,165
147,249
110,349
174,352
65,207
227,358
254,461
191,292
244,447
23,299
132,215
301,411
63,381
331,424
331,442
361,443
244,294
132,489
164,194
16,305
57,306
226,264
65,319
9,266
251,437
81,434
157,164
162,517
222,382
215,343
264,546
92,547
255,434
313,515
12,447
259,544
322,353
143,512
71,115
153,395
237,376
328,405
57,427
5,160
25,502
134,418
188,538
52,339
167,326
16,26
68,454
292,357
50,415
204,473
1,522
35,295
288,323
121,484
184,522
77,270
405,490
97,117
50,271
22,361
143,471
159,196
133,296
167,438
9,526
350,401
363,520
181,354
272,509
30,301
28,368
259,548
28,377
191,502
239,313
43,249
240,296
84,305
223,463
53,299
484,504
452,542
27,417
37,309
43,541
153,273
270,431
200,354
287,511
23,154
36,511
100,514
96,135
248,501
74,385
509,542
397,499
129,330
12,410
22,176
335,416
375,498
217,388
120,217
336,497
183,404
123,124
389,500
140,442
6,362
338,534
33,325
16,254
69,409
55,474
393,479
3,55
119,257
191,362
322,464
244,526
100,500
22,333
201,412
274,396
12,158
53,159
98,310
104,241
298,335
314,450
115,250
218,235
101,315
173,331
105,224
47,115
269,317
117,198
439,487
271,494
287,371
322,338
262,534
11,534
384,389
226,379
5,383
471,546
240,533
31,112
182,272
259,394
313,383
222,326
179,392
139,319
157,355
325,357
339,493
67,318
509,523
311,440
209,429
272,476
25,190
148,153
45,177
367,466
130,401
367,475
373,509
172,226
184,228
130,495
318,466
130,266
32,499
35,257
236,247
65,514
482,546
119,494
154,461
362,499
63,450
175,264
409,431
20,390
6,455
87,151
281,501
251,259
478,539
13,378
17,339
142,370
50,107
41,49
76,406
282,502
269,392
372,414
137,529
25,59
271,340
39,353
136,304
14,40
30,384
55,468
256,449
70,466
68,258
270,402
369,515
83,167
32,94
88,511
158,170
210,360
247,257
162,469
308,514
381,498
372,526
132,288
321,462
285,539
99,120
65,127
244,358
387,416
69,515
76,374
48,312
7,122
166,295
390,439
302,466
242,290
121,427
120,273
136,528
142,221
313,359
145,366
172,481
237,449
197,376
138,336
194,487
94,409
380,525
10,159
246,543
160,363
60,425
110,255
424,540
90,524
438,484
12,205
103,234
109,165
460,499
28,338
217,363
79,133
423,431
240,486
194,379
35,453
94,112
97,437
329,442
292,542
47,436
434,455
282,339
0,361
62,345
341,425
0,370
25,543
129,255
183,235
202,239
77,464
284,385
185,424
158,407
186,389
117,128
329,536
70,294
17,50
445,500
78,545
217,331
113,530
124,441
34,386
162,306
258,530
0,482
417,514
223,383
442,458
146,545
262,509
326,512
337,423
23,236
166,532
14,416
20,69
58,361
104,328
284,286
313,322
321,335
452,489
216,389
82,398
145,347
107,491
186,366
190,516
107,329
13,322
45,116
72,371
266,502
116,405
162,283
466,536
427,428
179,452
85,170
298,314
395,494
396,468
123,291
28,319
266,349
285,362
35,187
437,496
14,411
104,314
170,488
299,373
34,237
3,231
76,215
33,519
24,461
94,120
336,538
140,483
217,465
497,510
1,68
415,431
277,488
53,115
55,286
181,511
14,532
86,121
22,356
207,429
93,178
145,216
2,396
388,450
283,406
145,463
26,115
54,461
160,442
116,265
277,371
23,473
16,434
28,399
65,210
139,248
4,51
222,264
146,153
23,73
139,266
331,427
5,186
24,47
275,294
111,451
156,175
207,397
46,62
78,283
143,412
8,215
159,375
181,533
82,271
245,536
416,525
135,246
341,342
140,361
317,421
33,482
170,240
0,76
441,465
91,105
23,50
239,330
40,130
48,143
92,177
140,226
85,290
473,515
214,413
328,435
69,193
495,530
27,434
136,359
150,532
181,272
18,483
181,519
308,331
90,508
499,527
214,287
428,485
91,482
218,248
499,545
437,472
438,526
47,146
0,300
286,428
314,499
407,538
253,489
4,459
171,209
37,218
94,96
74,505
38,192
131,383
399,472
66,510
255,535
25,91
189,333
426,444
372,473
140,477
192,515
66,110
1,529
6,406
412,527
182,321
56,343
129,324
269,307
283,391
155,242
81,265
136,210
210,248
149,427
61,543
78,385
37,195
19,70
170,468
387,475
120,467
439,531
385,392
395,424
57,456
104,388
270,411
54,140
132,468
476,516
19,420
227,458
58,259
36,509
294,377
32,139
155,466
73,247
130,162
232,420
291,506
64,427
162,343
85,230
81,525
179,530
391,431
151,193
217,404
134,397
161,225
319,424
399,444
231,469
97,478
240,536
126,523
20,124
119,246
135,352
161,490
172,261
341,448
342,413
322,453
329,501
344,364
106,145
85,122
134,262
171,540
163,307
51,138
320,519
236,547
6,243
245,525
106,428
299,316
39,249
309,546
359,465
