ID,Degree,Closeness centrality,Clustering coefficient
0,2,0.22181069958847738,0
1,3,0.2347560975609756,0
2,5,0.24896073903002308,0
3,3,0.23313148788927335,0
4,2,0.2430117222723174,0
5,6,0.27071823204419887,0
6,5,0.26856003986048826,0.1
7,7,0.2727732793522267,0
8,3,0.23923657345761207,0
9,8,0.2716733870967742,0
10,5,0.26013513513513514,0
11,7,0.27457972491085075,0
12,3,0.23955555555555555,0
13,4,0.24736117485084902,0
14,6,0.2561787072243346,0
15,9,0.2842827004219409,0
16,2,0.23744493392070484,0
17,6,0.2653865091088134,0
18,6,0.2577714012434242,0.06666666666666667
19,5,0.2571564885496183,0
20,8,0.27071823204419887,0
21,6,0.25508755324183624,0
22,8,0.2833859095688749,0.03571428571428571
23,6,0.25605700712589075,0
24,10,0.2784090909090909,0
25,7,0.2696348174087044,0
26,3,0.23765432098765432,0
27,4,0.24455535390199637,0
28,8,0.28353498158863755,0
29,4,0.24793008279668813,0
30,3,0.2414874551971326,0
31,6,0.26669965363681347,0
32,6,0.2582654528030666,0
33,4,0.24555808656036446,0
34,5,0.25508755324183624,0
35,2,0.22916666666666666,0
36,7,0.26101694915254237,0
37,4,0.2536470588235294,0
38,8,0.2764102564102564,0
39,5,0.2535277516462841,0
40,8,0.275,0
41,6,0.27416073245167855,0
42,6,0.27071823204419887,0
43,7,0.28916309012875535,0
44,2,0.2049429657794677,0
45,5,0.24645633287608595,0
46,4,0.23870682019486272,0.16666666666666666
47,6,0.28443271767810024,0
48,7,0.25801819052178077,0
49,7,0.25950890707751567,0
50,7,0.2681592039800995,0
51,7,0.2673611111111111,0
52,6,0.2602607436021246,0
53,4,0.24477747502270664,0
54,10,0.2879273504273504,0
55,3,0.22552301255230126,0
56,7,0.27235977766548763,0.047619047619047616
57,9,0.2863974495217853,0.027777777777777776
58,6,0.26869391824526423,0
59,6,0.2744399185336049,0.06666666666666667
60,9,0.28978494623655915,0
61,5,0.2582654528030666,0
62,3,0.23692307692307693,0
63,5,0.2531705025833725,0
64,6,0.27071823204419887,0
65,10,0.28916309012875535,0
66,8,0.2845828933474129,0
67,3,0.25496688741721857,0
68,6,0.262287104622871,0
69,11,0.2948577680525164,0.01818181818181818
70,7,0.25569259962049334,0
71,8,0.27485976542580315,0
72,5,0.2555713608345187,0
73,3,0.2448886869604725,0
74,4,0.2546055739253661,0
75,7,0.2673611111111111,0
76,2,0.22713864306784662,0
77,4,0.2540056550424128,0
78,6,0.26215953307393,0
79,6,0.25752508361204013,0
80,8,0.2832369942196532,0.07142857142857142
81,7,0.25654450261780104,0
82,4,0.2602607436021246,0
83,3,0.24323104693140793,0
84,7,0.26936531734132935,0
85,8,0.2743002544529262,0
86,4,0.25496688741721857,0
87,1,0.22099220992209923,0
88,8,0.28308823529411764,0
89,10,0.29405346426623025,0.044444444444444446
90,8,0.27970939283860924,0
91,6,0.27712082262210797,0
92,9,0.28029121164846593,0.05555555555555555
93,10,0.28353498158863755,0
94,9,0.2817564035546262,0
95,4,0.2448886869604725,0
96,5,0.25412541254125415,0
97,6,0.25,0
98,3,0.25412541254125415,0
99,10,0.27697841726618705,0.022222222222222223
100,8,0.28994082840236685,0.03571428571428571
101,7,0.2643452672878862,0
102,8,0.2754215636177823,0.07142857142857142
103,5,0.24645633287608595,0
104,6,0.26669965363681347,0
105,2,0.2259010896898575,0
106,7,0.2639569049951028,0
107,4,0.25257731958762886,0
108,7,0.27598566308243727,0.047619047619047616
109,5,0.26063829787234044,0
110,5,0.2646048109965636,0
112,8,0.2856385797562268,0.03571428571428571
113,5,0.2703109327983952,0
114,2,0.21145547273440565,0
115,5,0.25424528301886795,0
116,5,0.26215953307393,0
117,9,0.2838335966298052,0.027777777777777776
118,8,0.28029121164846593,0
119,8,0.2772633744855967,0
120,6,0.2676266137040715,0
121,4,0.25630052306229195,0
122,6,0.262287104622871,0
123,9,0.28102189781021897,0
124,6,0.2613967022308438,0
125,4,0.2536470588235294,0
126,7,0.2682926829268293,0
127,5,0.2665677546983185,0
128,6,0.2752808988764045,0
129,2,0.21371927042030134,0
130,7,0.2716733870967742,0
131,3,0.23485838779956428,0
132,5,0.24400181077410593,0
133,6,0.2801455301455301,0
134,5,0.26499508357915436,0
135,1,0.20859133126934984,0
136,6,0.26473477406679763,0
137,5,0.24758842443729903,0
138,2,0.23272884283246978,0
139,6,0.2629268292682927,0
140,6,0.27783505154639176,0
141,6,0.2548463356973995,0
142,5,0.25925925925925924,0
143,6,0.2684262948207171,0
144,4,0.2518691588785047,0
145,3,0.24202963628199373,0
146,9,0.2774060730828616,0.027777777777777776
147,3,0.240625,0
148,2,0.2126232741617357,0
149,7,0.2536470588235294,0
150,7,0.26013513513513514,0
151,3,0.23807420494699646,0
152,6,0.27263530601922104,0
153,9,0.2873134328358209,0
154,9,0.2839831401475237,0.08333333333333333
155,5,0.25691134413727357,0
156,6,0.2656481025135535,0
157,4,0.250814332247557,0
158,7,0.2629268292682927,0.047619047619047616
159,4,0.24522292993630573,0
160,1,0.20081967213114754,0
161,2,0.22771440642163077,0
162,5,0.24533454710969504,0.1
163,1,0.20286036883703426,0
164,8,0.28594164456233423,0.03571428571428571
165,6,0.2805830296720458,0
166,6,0.250814332247557,0.06666666666666667
167,5,0.2538860103626943,0
168,8,0.2758444216990788,0.07142857142857142
169,4,0.24511141427921782,0
170,7,0.2738821138211382,0
171,11,0.29518072289156627,0.01818181818181818
172,7,0.2692307692307692,0
173,5,0.25424528301886795,0
174,3,0.23860115095174855,0
175,4,0.23557692307692307,0
176,10,0.2883895131086142,0.022222222222222223
177,7,0.27626858021527423,0
178,10,0.28994082840236685,0
179,6,0.2704465629703964,0.06666666666666667
180,4,0.2419210053859964,0
181,8,0.2716733870967742,0
182,9,0.28293963254593174,0
183,3,0.2546055739253661,0
184,6,0.2772633744855967,0
185,1,0.21786580436540015,0
186,11,0.28102189781021897,0
187,6,0.2653865091088134,0
188,2,0.21857258718572586,0
189,2,0.23353552859618718,0
190,5,0.2578947368421053,0.1
191,7,0.2692307692307692,0
192,4,0.24567000911577028,0
193,12,0.3069476082004556,0.015151515151515152
194,7,0.2727732793522267,0
195,6,0.2677595628415301,0.06666666666666667
196,3,0.2339409722222222,0
197,11,0.28353498158863755,0
198,8,0.2839831401475237,0
199,4,0.2511649580615098,0
201,6,0.25069767441860463,0
202,6,0.2727732793522267,0
203,6,0.26305514885309905,0.06666666666666667
204,7,0.26936531734132935,0
205,1,0.2243963363863447,0
206,2,0.22524028416213956,0
208,7,0.26669965363681347,0
209,6,0.2646048109965636,0
210,8,0.29277566539923955,0
211,9,0.282791185729276,0
212,6,0.25838926174496646,0
213,6,0.26669965363681347,0
214,6,0.26709613478691774,0.06666666666666667
215,3,0.23765432098765432,0
216,3,0.23902439024390243,0
217,3,0.23661106233538193,0
218,4,0.23496076721883175,0
219,2,0.212707182320442,0
221,7,0.2607643928398645,0
222,3,0.22906927326816828,0
223,7,0.27071823204419887,0
224,2,0.23024348568987613,0
225,6,0.2616504854368932,0.06666666666666667
226,9,0.27970939283860924,0
227,2,0.2266610597140454,0
228,5,0.2582654528030666,0.1
229,6,0.26305514885309905,0
230,5,0.2522227421619092,0
231,5,0.25175151798225126,0
232,6,0.2699048572859289,0
233,6,0.27598566308243727,0
234,4,0.24466636404902406,0.16666666666666666
