ID,Degree,Closeness centrality,Clustering coefficient
0,20,0.3414179104477612,0.02631578947368421
1,37,0.3762851267991775,0.016516516516516516
2,58,0.41876430205949655,0.012704174228675136
3,24,0.357421875,0.021739130434782608
4,40,0.3978260869565217,0.014102564102564103
5,53,0.43058823529411766,0.01741654571843251
6,39,0.37888198757763975,0.016194331983805668
7,3,0.27882173692229556,0.3333333333333333
8,34,0.355800388852884,0.008912655971479501
9,7,0.32332155477031804,0.047619047619047616
10,8,0.3238938053097345,0.07142857142857142
11,8,0.326397146254459,0.07142857142857142
12,5,0.32105263157894737,0
13,9,0.32893948472139006,0.027777777777777776
14,7,0.32972972972972975,0.047619047619047616
15,6,0.3246599645180367,0.13333333333333333
16,24,0.36237623762376237,0.014492753623188406
17,14,0.33867982726711904,0.02197802197802198
18,28,0.34355444305381727,0.005291005291005291
19,19,0.31052036199095023,0
20,12,0.3204903677758319,0.030303030303030304
21,3,0.304661487236404,0.3333333333333333
22,13,0.3124644280022766,0
23,9,0.311577752553916,0.027777777777777776
24,8,0.29967248908296945,0
25,15,0.32294117647058823,0.009523809523809525
26,5,0.3077354260089686,0.1
27,8,0.3038184836745988,0
28,13,0.3162442396313364,0.01282051282051282
29,6,0.28255275347400927,0
30,6,0.32086499123319695,0.06666666666666667
31,10,0.3275656324582339,0.044444444444444446
32,2,0.26093155893536124,0
33,9,0.3103448275862069,0
34,5,0.3103448275862069,0
35,7,0.32815301852958756,0.047619047619047616
36,11,0.28970976253298153,0
37,5,0.28255275347400927,0
38,12,0.27491236855282924,0
39,10,0.30947012401352875,0
40,10,0.3166089965397924,0
41,7,0.311577752553916,0.09523809523809523
42,11,0.30636160714285715,0
43,2,0.291866028708134,0
44,2,0.29967248908296945,1.0
45,2,0.28803777544596015,0
46,3,0.3096446700507614,0
47,11,0.3303249097472924,0.01818181818181818
48,4,0.3091216216216216,0.16666666666666666
49,3,0.2982074959261271,0
50,3,0.29547900968783636,0
51,4,0.31069609507640067,0
52,10,0.2940546331012319,0
53,4,0.30398671096345514,0
54,8,0.28683385579937304,0
55,5,0.29389721627408993,0
56,4,0.2643235435724603,0
57,10,0.3201166180758018,0.044444444444444446
58,2,0.2844559585492228,0
59,3,0.28328173374613,0
60,18,0.32815301852958756,0
61,6,0.2889473684210526,0
62,6,0.2687224669603524,0
63,3,0.2713791398912506,0
64,7,0.2750501002004008,0
65,7,0.30808080808080807,0.047619047619047616
66,18,0.2900158478605388,0
67,8,0.29836956521739133,0
68,9,0.2972387655657823,0
69,2,0.290169133192389,0
70,4,0.317157712305026,0.3333333333333333
71,6,0.26445086705202314,0
72,10,0.3013172338090011,0
73,6,0.30790802019068986,0
74,3,0.3131774101540217,0.3333333333333333
75,4,0.27967396841569026,0
76,4,0.3056792873051225,0
77,11,0.27967396841569026,0
78,7,0.30739081746920494,0
79,10,0.3091216216216216,0.044444444444444446
80,2,0.2903225806451613,0
81,3,0.31052036199095023,0
82,2,0.2571428571428571,0
83,3,0.2986942328618063,0
84,6,0.26650485436893206,0.06666666666666667
85,4,0.31353512278697887,0
86,5,0.30756302521008405,0.1
87,2,0.2472972972972973,0
88,8,0.2871338912133891,0.03571428571428571
89,7,0.3129988597491448,0.047619047619047616
90,2,0.28879537085744345,0
91,3,0.3077354260089686,0
92,2,0.30214639515685193,0
93,4,0.27811550151975684,0
94,2,0.25835294117647056,0
95,3,0.2619274809160305,0
96,2,0.3060200668896321,1.0
97,7,0.2903225806451613,0.047619047619047616
98,3,0.3201166180758018,0.3333333333333333
99,2,0.3028130170987314,0
100,2,0.30894766460326395,1.0
101,3,0.3048306496390894,0
102,4,0.2846034214618974,0
103,4,0.26496138996138996,0
104,5,0.2756024096385542,0
105,5,0.2942122186495177,0
106,6,0.3137142857142857,0.06666666666666667
107,8,0.28197226502311246,0
108,5,0.273542600896861,0
109,2,0.29788388497015733,0
110,3,0.24909255898366606,0
111,2,0.25125858123569794,0
112,3,0.24965893587994542,0
113,4,0.27367896311066797,0
114,4,0.30756302521008405,0
115,3,0.25523012552301255,0
